|And each time the joyful bark that trembled in Buck 's throat was twisted into a savage growl . |	Buck									
|But the saloon-keeper let him alone , and in the morning four men entered and picked up the crate . |	Buck	DEFAULT								
|More tormentors , Buck decided , for they were evil-looking creatures , ragged and unkempt ; and he stormed and raged at them through the bars . |	Buck									
|They only laughed and poked sticks at him , which he promptly assailed with his teeth till he realized that that was what they wanted . |	Buck									
|Whereupon he lay down sullenly and allowed the crate to be lifted into a wagon . |	DEFAULT									
|Then he , and the crate in which he was imprisoned , began a passage through many hands . |	DEFAULT									
|Clerks in the express office took charge of him ; he was carted about in another wagon ; a truck carried him , with an assortment of boxes and parcels , upon a ferry steamer ; he was trucked off the steamer into a great railway depot , and finally he was deposited in an express car . |	Buck									
|For two days and nights this express car was dragged along at the tail of shrieking locomotives ; and for two days and nights Buck neither ate nor drank . |	Buck									
|In his anger he had met the first advances of the express messengers with growls , and they had retaliated by teasing him . |	Buck									
|When he flung himself against the bars , quivering and frothing , they laughed at him and taunted him . |	DEFAULT									
|They growled and barked like detestable dogs , mewed , and flapped their arms and crowed . |										
|It was all very silly , he knew ; but therefore the more outrage to his dignity , and his anger waxed and waxed . |	DEFAULT									
|He did not mind the hunger so much , but the lack of water caused him severe suffering and fanned his wrath to fever-pitch . |	DEFAULT									
|For that matter , high-strung and finely sensitive , the ill treatment had flung him into a fever , which was fed by the inflammation of his parched and swollen throat and tongue . |	DEFAULT									
|He was glad for one thing : the rope was off his neck . |	DEFAULT									
|That had given them an unfair advantage ; but now that it was off , he would show them . |	DEFAULT									
|They would never get another rope around his neck . |										
|Upon that he was resolved . |	DEFAULT									
|For two days and nights he neither ate nor drank , and during those two days and nights of torment , he accumulated a fund of wrath that boded ill for whoever first fell foul of him . |	DEFAULT									
|His eyes turned blood-shot , and he was metamorphosed into a raging fiend . |	DEFAULT									
|So changed was he that the Judge himself would not have recognized him ; and the express messengers breathed with relief when they bundled him off the train at Seattle . |	DEFAULT	Judge Miller								
|Four men gingerly carried the crate from the wagon into a small , high-walled back yard . |										
|A stout man , with a red sweater that sagged generously at the neck , came out and signed the book for the driver . |	DEFAULT	DEFAULT								
|That was the man , Buck divined , the next tormentor , and he hurled himself savagely against the bars . |	DEFAULT	Buck								
|The man smiled grimly , and brought a hatchet and a club . |	DEFAULT									
|`` You ai n't going to take him out now ? '' |	DEFAULT	DEFAULT								
|the driver asked . |	DEFAULT									
|`` Sure , '' the man replied , driving the hatchet into the crate for a pry . |	DEFAULT									
|There was an instantaneous scattering of the four men who had carried it in , and from safe perches on top the wall they prepared to watch the performance . |										
|Buck rushed at the splintering wood , sinking his teeth into it , surging and wrestling with it . |	Buck									
|Wherever the hatchet fell on the outside , he was there on the inside , snarling and growling , as furiously anxious to get out as the man in the red sweater was calmly intent on getting him out . |	Buck	DEFAULT								
|`` Now , you red-eyed devil , '' he said , when he had made an opening sufficient for the passage of Buck 's body . |	Buck	DEFAULT								
|At the same time he dropped the hatchet and shifted the club to his right hand . |	DEFAULT									
|And Buck was truly a red-eyed devil , as he drew himself together for the spring , hair bristling , mouth foaming , a mad glitter in his blood-shot eyes . |	Buck									
|Straight at the man he launched his one hundred and forty pounds of fury , surcharged with the pent passion of two days and nights . |	Buck	DEFAULT								
|In mid air , just as his jaws were about to close on the man , he received a shock that checked his body and brought his teeth together with an agonizing clip . |	DEFAULT	DEFAULT								
|He whirled over , fetching the ground on his back and side . |	DEFAULT									
|He had never been struck by a club in his life , and did not understand . |	DEFAULT									
|With a snarl that was part bark and more scream he was again on his feet and launched into the air . |	DEFAULT									
|And again the shock came and he was brought crushingly to the ground . |	DEFAULT									
|This time he was aware that it was the club , but his madness knew no caution . |	DEFAULT									
|A dozen times he charged , and as often the club broke the charge and smashed him down . |	DEFAULT									
|After a particularly fierce blow , he crawled to his feet , too dazed to rush . |	DEFAULT									
|He staggered limply about , the blood flowing from nose and mouth and ears , his beautiful coat sprayed and flecked with bloody slaver . |	DEFAULT									
|Then the man advanced and deliberately dealt him a frightful blow on the nose . |	DEFAULT	DEFAULT								
|All the pain he had endured was as nothing compared with the exquisite agony of this . |										
|With a roar that was almost lionlike in its ferocity , he again hurled himself at the man . |	DEFAULT	DEFAULT								
|But the man , shifting the club from right to left , coolly caught him by the under jaw , at the same time wrenching downward and backward . |	Buck	DEFAULT								
|Buck described a complete circle in the air , and half of another , then crashed to the ground on his head and chest . |	Buck									
|For the last time he rushed . |	DEFAULT									
|The man struck the shrewd blow he had purposely withheld for so long , and Buck crumpled up and went down , knocked utterly senseless . |	DEFAULT	Buck								
|`` He 's no slouch at dog-breakin ' , that 's wot I say , '' one of the men on the wall cried enthusiastically . |	DEFAULT	DEFAULT								
|`` Druther break cayuses any day , and twice on Sundays , '' was the reply of the driver , as he climbed on the wagon and started the horses . |	DEFAULT									
|Buck 's senses came back to him , but not his strength . |	Buck									
|He lay where he had fallen , and from there he watched the man in the red sweater . |	Buck	DEFAULT								
|``` Answers to the name of Buck , ''' the man soliloquized , quoting from the saloon-keeper 's letter which had announced the consignment of the crate and contents . |	Buck	DEFAULT	DEFAULT							
|`` Well , Buck , my boy , '' he went on in a genial voice , `` we 've had our little ruction , and the best thing we can do is to let it go at that . |	Buck	DEFAULT								
|You 've learned your place , and I know mine . |	Buck	DEFAULT								
|Be a good dog and all ` ll go well and the goose hang high . |										
|Be a bad dog , and I 'll whale the stuffin ' outa you . |	DEFAULT	DEFAULT								
|Understand ? '' |										
|As he spoke he fearlessly patted the head he had so mercilessly pounded , and though Buck 's hair involuntarily bristled at touch of the hand , he endured it without protest . |	Buck	DEFAULT								
|When the man brought him water he drank eagerly , and later bolted a generous meal of raw meat , chunk by chunk , from the man 's hand . |	Buck	DEFAULT								
|He was beaten -LRB- he knew that -RRB- ; but he was not broken . |	DEFAULT									
|He saw , once for all , that he stood no chance against a man with a club . |	DEFAULT									
|He had learned the lesson , and in all his after life he never forgot it . |	DEFAULT									
|That club was a revelation . |										
|It was his introduction to the reign of primitive law , and he met the introduction halfway . |	DEFAULT									
|The facts of life took on a fiercer aspect ; and while he faced that aspect uncowed , he faced it with all the latent cunning of his nature aroused . |	DEFAULT									
|As the days went by , other dogs came , in crates and at the ends of ropes , some docilely , and some raging and roaring as he had come ; and , one and all , he watched them pass under the dominion of the man in the red sweater . |	Buck	DEFAULT								
|Again and again , as he looked at each brutal performance , the lesson was driven home to Buck : a man with a club was a lawgiver , a master to be obeyed , though not necessarily conciliated . |	Buck									
|Of this last Buck was never guilty , though he did see beaten dogs that fawned upon the man , and wagged their tails , and licked his hand . |	Buck	DEFAULT								
|Also he saw one dog , that would neither conciliate nor obey , finally killed in the struggle for mastery . |	Buck	DEFAULT								
|Now and again men came , strangers , who talked excitedly , wheedlingly , and in all kinds of fashions to the man in the red sweater . |	DEFAULT									
|And at such times that money passed between them the strangers took one or more of the dogs away with them . |										
|Buck wondered where they went , for they never came back ; but the fear of the future was strong upon him , and he was glad each time when he was not selected . |	Buck									
|Yet his time came , in the end , in the form of a little weazened man who spat broken English and many strange and uncouth exclamations which Buck could not understand . |	Buck									
|`` Sacredam ! '' |										
|he cried , when his eyes lit upon Buck . |	Buck									
|`` Dat one dam bully dog ! |										
|Eh ? |										
|How moch ? '' |										
|`` Three hundred , and a present at that , '' was the prompt reply of the man in the red sweater . |	DEFAULT									
|`` And seem ' it 's government money , you ai n't got no kick coming , eh , Perrault ? '' |	Perrault									
|Perrault grinned . |	Perrault									
|Considering that the price of dogs had been boomed skyward by the unwonted demand , it was not an unfair sum for so fine an animal . |										
|The Canadian Government would be no loser , nor would its despatches travel the slower . |										
|Perrault knew dogs , and when he looked at Buck he knew that he was one in a thousand -- `` One in ten t ' ousand , '' he commented mentally . |	Perrault	Buck								
|Buck saw money pass between them , and was not surprised when Curly , a good-natured Newfoundland , and he were led away by the little weazened man . |	Buck	Curly	Perrault							
|That was the last he saw of the man in the red sweater , and as Curly and he looked at receding Seattle from the deck of the Narwhal , it was the last he saw of the warm Southland . |	Buck	Curly	DEFAULT							
|Curly and he were taken below by Perrault and turned over to a black-faced giant called Francois . |	DEFAULT	Curly	Perrault	Francois						
|Perrault was a French-Canadian , and swarthy ; but Francois was a French-Canadian half-breed , and twice as swarthy . |	Perrault	Francois								
|They were a new kind of men to Buck -LRB- of which he was destined to see many more -RRB- , and while he developed no affection for them , he none the less grew honestly to respect them . |	Buck									
|He speedily learned that Perrault and Francois were fair men , calm and impartial in administering justice , and too wise in the way of dogs to be fooled by dogs . |	Perrault	Francois								
|In the ` tween-decks of the Narwhal , Buck and Curly joined two other dogs . |	Buck	Curly								
|One of them was a big , snow-white fellow from Spitzbergen who had been brought away by a whaling captain , and who had later accompanied a Geological Survey into the Barrens . |										
|He was friendly , in a treacherous sort of way , smiling into one 's face the while he meditated some underhand trick , as , for instance , when he stole from Buck 's food at the first meal . |	DEFAULT	Buck								
|As Buck sprang to punish him , the lash of Francois 's whip sang through the air , reaching the culprit first ; and nothing remained to Buck but to recover the bone . |	Buck	Francois								
|That was fair of Francois , he decided , and the half-breed began his rise in Buck 's estimation . |	Francois	Buck								
|The other dog made no advances , nor received any ; also , he did not attempt to steal from the newcomers . |	Buck									
|He was a gloomy , morose fellow , and he showed Curly plainly that all he desired was to be left alone , and further , that there would be trouble if he were not left alone . |	Curly	Dave								
|`` Dave '' he was called , and he ate and slept , or yawned between times , and took interest in nothing , not even when the Narwhal crossed Queen Charlotte Sound and rolled and pitched and bucked like a thing possessed . |	Dave									
|When Buck and Curly grew excited , half wild with fear , he raised his head as though annoyed , favored them with an incurious glance , yawned , and went to sleep again . |	Buck	Curly								
|Day and night the ship throbbed to the tireless pulse of the propeller , and though one day was very like another , it was apparent to Buck that the weather was steadily growing colder . |	Buck									
|At last , one morning , the propeller was quiet , and the Narwhal was pervaded with an atmosphere of excitement . |										
|He felt it , as did the other dogs , and knew that a change was at hand . |	DEFAULT									
|Francois leashed them and brought them on deck . |	Francois									
|At the first step upon the cold surface , Buck 's feet sank into a white mushy something very like mud . |	Buck									
|He sprang back with a snort . |	Buck									
|More of this white stuff was falling through the air . |										
|He shook himself , but more of it fell upon him . |	DEFAULT									
|He sniffed it curiously , then licked some up on his tongue . |	DEFAULT									
|It bit like fire , and the next instant was gone . |										
|This puzzled him . |	DEFAULT									
|He tried it again , with the same result . |	DEFAULT									
|The onlookers laughed uproariously , and he felt ashamed , he knew not why , for it was his first snow . |	DEFAULT									
