Shuffle	sentenceID	pre-context	sentence to be annotated	post-context	# people sentence	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10
0.904985983989449	304	|But this by-blow of yours ; well , what to do with him is beyond me . |	|I knew he was n't speaking to me . |	|I watched him over the edge of the blanket as he took the lantern from its hook and wandered off , muttering to himself . |	2	DEFAULT	DEFAULT								
0.197943902452474	205	|Jason offered me the slab of dripping meat . |	|I looked from the bread to the cheese I gripped , loath to surrender either , but longing for the hot meat , too . |	|He shrugged at seeing my dilemma , and with a fighting man 's practicality , flipped the meat casually onto the table beside my hip . |	1	DEFAULT									
0.736223196170373	47	|Almost , it is like a puppet show beginning . |	|Yes , I can see it thus . |	|The curtains parted , and there we stood before that great door . |	1	DEFAULT									
0.081830167668772	68	|No , memory shows me a man-at-arms , a warrior , gone a bit to gray and with a belly more of hard suet than muscle , but not some mannered house servant . |	|He looked both the old man and me up and down with a soldier 's practiced suspicion , and then stood there silently , waiting for us to state our business . |	|I think it rattled the old man a bit , and stimulated him , not to fear , but to anger . |	3	DEFAULT	DEFAULT	DEFAULT							
0.551172874345086	122	|As he stared at me his grin gradually widened , until finally he gave a snort of laughter . |	|Be damned , he finally said . |	|Boy does have Chiv 's look to him , does n't he ? |	1	DEFAULT									
0.234751830648637	130	|The other man continued to regard me curiously . |	|How old ? |	|he asked the guard . |	0										
0.828853142730738	310	|Certainly the days that follow that first night have no such clarity in my mind . |	|I recall the spitting-wet days of winter 's end as I learned the route from my stall to the kitchen . |	|I was free to come and go there as I pleased . |	1	DEFAULT									
0.151858048925982	48	|Yes , I can see it thus . |	|The curtains parted , and there we stood before that great door . |	|The old man lifted the brass knocker and banged it down , once , twice , thrice on the plate that resounded to his pounding . |	0										
0.050584864676941	291	|They had roused and lay , stick tails thumping in the straw at Burrich 's voice . |	|I moved uncertainly in amongst them and finally lay down next to an old bitch with a whitened muzzle and one torn ear . |	|The older male regarded me with a certain suspicion , but the third was a half-grown pup , and Nosy welcomed me with ear lickings , nose nipping , and much pawing . |	1	DEFAULT									
0.708289879856708	387	|I still think it would be better not to have him about . |	|What if Chivalry never does get a legal heir on Patience ? |	|What if he chooses to recognize this ... boy ? |	1	DEFAULT									
0.305511545612177	350	|And the careful turn of his words was like a twisted chain of gold compared to the simple links of Verity 's speech . |	|Regal , I had given it no thought . |	|What do I know of children ? |	2	Regal	Prince Verity								
0.361254630191995	303	|I 've minded them all for you for many a year , and minded them well . |	|But this by-blow of yours ; well , what to do with him is beyond me . |	|I knew he was n't speaking to me . |	3	DEFAULT	DEFAULT	DEFAULT							
0.558126764667983	80	|And he let go of me so suddenly that I sprawled to the stone doorstep at the guard 's feet . |	|I scrabbled to a sitting position , not much hurt that I recall , and looked up to see what would happen next between the two men . |	|The guard looked down at me , lips pursed slightly , not in judgment but merely considering how to classify me . |	1	DEFAULT									
0.813495489690263	172	|I went somewhat reluctantly , for the room was bright and pleasant and warm . |	|My cold feet had started to tingle , and I knew if I could stay a little longer , I would be warmed through . |	|But the guardsman 's hand was inexorable , and I was steered out of the warm chamber and back into the chill dimness of the dreary corridors . |	1	DEFAULT									
0.955543049566204	315	|Men came and went , eating and drinking , and regarding me with a speculative curiosity that I came to accept as normal . |	|The men had a sameness about them , with their rough wool cloaks and leggings , their hard bodies and easy movements , and the crest of a leaping buck that each bore over his heart . |	|My presence made some of them uncomfortable . |	0										
0.977524285393427	40	|It was as implacable as the icy gray rain that glazed the trampled snow and ice of the graveled pathway outside the huge wooden doors of the fortified building that stood like a fortress within the town itself . |	|The doors were tall , not just to a six-year-old boy , but tall enough to admit giants , to dwarf even the rangy old man who towered over me . |	|And they looked strange to me , although I can not summon up what type of door or dwelling would have looked familiar . |	2	DEFAULT	DEFAULT								
0.819895023618805	141	|Yes . |	|That was the first year the Chyurda tried to close the pass . |	|Chivalry was up this way for three , four months , chivying them into opening it to us . |	1	Chyurda									
0.81131010518149	72	|I 've brought the boy to you , he said in a rusty voice . |	|And when the house guard continued to stare at him , without judgment or even curiosity , he elaborated . |	|I 've fed him at my table for six years , and never a word from his father , never a coin , never a visit , though my daughter gives me to understand he knows he fathered a bastard on her . |	2	DEFAULT	DEFAULT								
0.753556366175406	226	|Burrich gripped my shoulders and turned me to the fire . |	|When he firmly took my jaw in his hand and lifted my face to his , he startled me , so that I dropped both bread and cheese . |	|Yet he paid no mind to this as he turned my face toward the fire and studied me as if I were a map . |	2	Burrich	DEFAULT								
0.591490510545081	167	|Jason , see the boy 's fed and bedded somewhere , at least for tonight . |	|I 'll give some thought to what 's to be done with him tomorrow . |	|Ca n't have royal bastards cluttering up the countryside . |	2	DEFAULT	DEFAULT								
0.790038471457085	33	|One hopes it is not the case . |	|The remembrance is almost physical : the chill grayness of the fading day , the remorseless rain that soaked me , the icy cobbles of the strange town 's streets , even the callused roughness of the huge hand that gripped my small one . |	|Sometimes I wonder about that grip . |	0										
0.45480824494044	363	|I left it to you , and I do n't find fault with it . |	|It 's better than a lot of children have in this village , Eda knows . |	|For here , for now , it 's fine . |	1	Eda									
0.217126538207795	50	|The old man lifted the brass knocker and banged it down , once , twice , thrice on the plate that resounded to his pounding . |	|And then , from offstage , a voice sounded . |	|Not from within the doors , but from behind us , back the way we had come . |	0										
0.557553751655283	132	|he asked the guard . |	|Plowman says six . |	|The guard raised a hand to scratch at his cheek , then suddenly seemed to recall he was reporting . |	1	Plowman									
0.140381399274866	161	|I do not know if I was merely repeating what he and the guardsman had called me , or if I truly had no name besides the word . |	|For a moment the man looked surprised and a look of what might have been pity crossed his face . |	|But it disappeared as swiftly , leaving him looking only discomfited , or mildly annoyed . |	1	DEFAULT									
0.60397980752283	82	|The guard looked down at me , lips pursed slightly , not in judgment but merely considering how to classify me . |	|Whose get ? |	|he asked , and his tone was not one of curiosity , but only that of a man who asks for more specific information on a situation , in order to report well to a superior . |	0										
0.246980010038216	391	|Why should we tempt trouble ? |	|So say my mother and I . |	|But our father the King is not a hasty man , as well we know . |	2	DEFAULT	DEFAULT								
0.419717716271468	268	|There were tall walls around us , and guards moved intermittently atop them , dark shadows visible only as they blotted the stars occasionally from the sky . |	|The cold bit at me , and I stumbled and slipped on the icy pathway . |	|But something about Burrich did not permit me to whimper or beg quarter from him . |	1	DEFAULT									
0.629297874518362	308	|I drifted into his mind and shared his dim dreams of an endless chase , pursuing a quarry I never saw , but whose hot scent dragged me onward through nettle , bramble , and scree . |	|And with the hound 's dream , the precision of the memory wavers like the bright colors and sharp edges of a drug dream . |	|Certainly the days that follow that first night have no such clarity in my mind . |	0										
0.577372930268126	79	|So you take him , and give him to his father . |	|And he let go of me so suddenly that I sprawled to the stone doorstep at the guard 's feet . |	|I scrabbled to a sitting position , not much hurt that I recall , and looked up to see what would happen next between the two men . |	2	DEFAULT	DEFAULT								
0.769694880699941	119	|Heavy brows were raised above his dark eyes . |	|He had a barrel of a chest , and shoulders that strained the fabric of his shirt . |	|His fists were square and work-scarred , yet ink stained the fingers of his right hand . |	1	DEFAULT									
0.794003195836982	138	|The dark eyes roved over me , and the amusement in his smile grew broader . |	|So make it seven years or so , to allow for her belly to swell . |	|Damn . |	1	DEFAULT									
0.454427544550052	265	|The path cracked under my feet , and the wind seemed to find every crack and gap in my garments . |	|My feet and leggings had been warmed by the kitchen 's fire , but not quite dried , so the cold seized on them . |	|I remember darkness , and the sudden tiredness that came over me , a terrible weepy sleepiness that dragged at me as I followed the strange man with the bandaged leg through the chill , dark courtyard . |	1	DEFAULT									
0.19172328863674	328	|One other memory I have of that time , but it is not sharp-edged . |	|Rather it is warm and softly tinted , like a rich old tapestry seen in a dim room . |	|I recall being roused from sleep by the pup 's wriggling and the yellow light of a lantern being held over me . |	0										
0.457003596260684	15	|But each historical event I consider only awakens my own personal shades of loneliness and loss . |	|I fear I will have to set this work aside entirely , or else give in to reconsidering all that has shaped what I have become . |	|And so I begin again , and again , but always find that I am writing of my own beginnings rather than the beginnings of this land . |	1	DEFAULT									
0.927937209847186	320	|But those memories are blurry , and details , such as those of washing or changing garments , have probably faded with a six-year-olds calm assumptions of such things as normal . |	|Certainly I remember the hound pup , Nosy . |	|His coat was red and slick and short , and bristly in a way that prickled me through my clothes when we shared the horse blanket at night . |	2	DEFAULT	Nosy								
0.32866080434742	16	|I fear I will have to set this work aside entirely , or else give in to reconsidering all that has shaped what I have become . |	|And so I begin again , and again , but always find that I am writing of my own beginnings rather than the beginnings of this land . |	|I do not even know to whom I try to explain myself . |	1	DEFAULT									
0.589718380983668	314	|More often there was not , and I helped myself to whatever had been left out on the table , and shared generously with the pup that swiftly became my constant companion . |	|Men came and went , eating and drinking , and regarding me with a speculative curiosity that I came to accept as normal . |	|The men had a sameness about them , with their rough wool cloaks and leggings , their hard bodies and easy movements , and the crest of a leaping buck that each bore over his heart . |	1	DEFAULT									
0.300057479311351	283	|This 'll do . |	|For now , anyway . |	|I 'm jigged if I know what else to do with you . |	0										
0.619188338853322	146	|Who 'd have thought it of him ? |	|He paused , then : Who 's the mother ? |	|he demanded suddenly . |	2	DEFAULT	DEFAULT								
0.213897593734891	22	|My memories reach back to when I was six years old . |	|Before that , there is nothing , only a blank gulf no exercise of my mind has ever been able to pierce . |	|Prior to that day at Moonseye , there is nothing . |	1	DEFAULT									
0.599171349697347	398	|Then he laughed . |	|Regal himself gave a short , bitter laugh . |	|I weary so of his humor . |	1	Regal									
0.493442134343095	248	|This statement seemed to put everyone , even Burrich , at a loss for words . |	|The silence lingered as I finished bread and cheese and meat , and washed it down with a swallow or two of beer that Burrich offered me . |	|The other men left the room gradually , in twos and threes , and still he sat there , drinking and looking at me . |	2	Burrich	DEFAULT								
0.883657788196381	55	|I ca n't recall that I saw anyone . |	|Certainly , I did not struggle to break free of the old man 's grip on my hand , nor did I call out , Mother , Mother . |	|Instead I stood , a spectator , and heard the sound of boots within the keep , and the unfastening of the door hasp within . |	3	DEFAULT	Mother	DEFAULT							
0.699733556711347	111	|The guard gave me a gentle nudge on the shoulder that propelled me a foot or so closer to the man . |	|An old plowman left him , Prince Verity , sir . |	|Says it 's Prince Chivalry 's bastid , sir . |	3	DEFAULT	DEFAULT	Prince Verity							
0.888473217847384	28	|Perhaps I have heard the story so many times , from so many sources , that I now recall it as an actual memory of my own . |	|Is the detail the result of a six-year-old 's open absorption of all that goes on around him ? |	|Or could the completeness of the memory be the bright overlay of the Skill , and the later drugs a man takes to control his addiction to it , the drugs that bring on pains and cravings of their own ? |	0										
0.833008730024845	347	|But the younger man with him gleamed in scarlets and primrose , and his cloak drooped with twice the width of cloth needed to cover a man . |	|The doublet that showed beneath it was a rich cream , and laden with lace . |	|The scarf at his throat was secured with a leaping stag done in gold , its single eye a winking green gem . |	0										
0.421286743144062	400	|I weary so of his humor . |	|Oh , said Verity again , and I lay still and wondered if he were trying to sort out the King 's words , or refraining from replying to his brother 's complaint . |	|You discern his real reasons , of course , Regal informed him . |	3	Prince Verity	Regal	DEFAULT							
0.454379063347839	102	|This room was as warm as the corridor had been chill , and alive as the other chambers had been deserted . |	|I recall a quantity of furniture in it , rugs and hangings , and shelves of tablets and scrolls overlaid with the scattering of clutter that any well-used and comfortable chamber takes on . |	|There was a fire burning in a massive fireplace , filling the room with heat and a pleasantly resinous scent . |	1	DEFAULT									
0.592308967652955	407	|Despite his foolish marriage and his eccentric wife . |	|Despite this mess . |	|And now he thinks this will sway the people , make them warmer toward him . |	0										
0.513072065300949	279	|Horses stirred as we passed their stalls . |	|Hawks are down at the far end , Burrich said as we passed stall after stall . |	|I accepted it as something he thought I should know . |	1	Burrich									
0.996863673834396	145	|Damn . |	|Who 'd have thought it of him ? |	|He paused , then : Who 's the mother ? |	1	DEFAULT									
0.274727409833847	115	|Then something very like an amused smile lightened his features and he rose and came around the desk to stand with his fists on his hips , looking down on me . |	|I did not feel threatened by his scrutiny ; rather it was as if something about my appearance pleased him inordinately . |	|I looked up at him curiously . |	2	DEFAULT	DEFAULT								
0.547362050204801	300	|But for tonight , you 'll be warm here , and safe . |	|He stood a moment longer , looking down at us . |	|Horse , hound , and hawk , Chivalry . |	1	Chiv									
0.873360065090458	176	|Perhaps I whimpered , or perhaps he grew tired of my slower pace , for he spun suddenly , seized me , and tossed me up to sit on his shoulder as casually as if I weighed nothing at all . |	|Soggy little pup , you , he observed , without rancor , and then bore me down corridors and around turns and up and down steps and finally into the yellow light and space of a large kitchen . |	|There , half a dozen other guards lounged on benches and ate and drank at a big scarred table before a fire fully twice as large as the one in the study had been . |	2	DEFAULT	DEFAULT								
0.54712264976611	134	|The guard raised a hand to scratch at his cheek , then suddenly seemed to recall he was reporting . |	|He dropped his hand . |	|Sir , he added . |	1	DEFAULT									
0.680406839741021	368	|Then our father wishes him to return with us to Buckkeep ? |	|The question came from Verity . |	|Our father does . |	1	Prince Verity									
0.055984456248126	181	|The table bore a clutter of food and dishes . |	|A chunk of meat on a spit was swung back from the flames and dripping fat onto the stone hearth . |	|My stomach clutched suddenly at my ribs at the rich smell . |	0										
0.013566992210575	214	|An unusual quiet bloomed suddenly in the kitchen . |	|Men paused in their eating , gripping bread or mugs or trenchers , and turned eyes to the man called Burrich . |	|He himself set his mug carefully away from the edge of the table . |	1	Burrich									
0.647047530550283	379	|We scarcely need more confusion in the line of succession . |	|I see no confusion in it now , Regal . |	|Verity spoke evenly . |	2	Regal	Prince Verity								
0.878540081972674	54	|I turned to look at her , but it had begun to snow again , a lacy veil that clung to eyelashes and coat sleeves . |	|I ca n't recall that I saw anyone . |	|Certainly , I did not struggle to break free of the old man 's grip on my hand , nor did I call out , Mother , Mother . |	1	DEFAULT									
0.47618461339305	416	|I heard the sourness in Regal 's voice . |	|So the King seems to think . |	|Does he care nothing for the disgrace ? |	1	DEFAULT									
0.507717870590302	366	|It will have to be different when he comes back to Buckkeep . |	|Regal did not sound pleased . |	|Then our father wishes him to return with us to Buckkeep ? |	1	Regal									
0.078733491561648	331	|Two men bent over me , but Burrich stood stiffly behind them and I was not afraid . |	|Now you 've wakened him , warned the one , and he was Prince Verity , the man from the warmly lit chamber of my first evening . |	|So ? |	3	DEFAULT	Burrich	Prince Verity							
0.817768479253619	58	|One last time she called . |	|I can still hear the words perfectly , the desperation in a voice that now would sound young to my ears . |	|Father , please , I beg you ! |	1	DEFAULT									
0.910137467040417	342	|This man was younger by far . |	|His cheeks were beardless , and his scented and smoothed hair was finer and brown . |	|His cheeks and forehead had been stung to redness by the night 's chill , but it was a new thing , not Verity 's weathered ruddiness . |	1	DEFAULT									
0.778750972375223	457	|Prince Verity became King-in-Waiting and Prince Regal moved up a notch in the line of succession . |	|If all I had ever done was to be born and discovered , I would have left a mark across all the land for all time . |	|I grew up fatherless and motherless in a court where all recognized me as a catalyst . |	1	DEFAULT									
0.072398603449678	4	|And of the first real King , little more than his name and some extravagant legends remain . |	|Taker his name was , quite simply , and perhaps with that naming began the tradition that daughters and sons of his lineage would be given names that would shape their lives and beings . |	|Folk beliefs claim that such names were sealed to the newborn babes by magic , and that these royal offspring were incapable of betraying the virtues whose names they bore . |	1	DEFAULT									
0.412648548457017	121	|His fists were square and work-scarred , yet ink stained the fingers of his right hand . |	|As he stared at me his grin gradually widened , until finally he gave a snort of laughter . |	|Be damned , he finally said . |	2	DEFAULT	DEFAULT								
0.685081244335809	459	|I grew up fatherless and motherless in a court where all recognized me as a catalyst . |	|And a catalyst I became . |	|CHAPTER TWO Newboy HERE ARE MANY LEGENDS about Taker , the first Outislander to claim Buckkeep as the First Duchy and the founder of the royal line . |	1	DEFAULT									
0.734300925910291	405	|Regal sounded disgusted . |	|Despite everything . |	|Despite his foolish marriage and his eccentric wife . |	0										
0.30256869850624	412	|Regal 's tone betrayed that he agreed with none of this . |	|And this will make the people like him more , support his future kingship more ? |	|That he fathered a child on some wild woman before he married his queen ? |	1	DEFAULT									
0.515547969841789	196	|His eyes were brown rather than black , and his hands were long-fingered and clever . |	|He smelled of horses and dogs and blood and leathers . |	|He 's yours to watch over , Burrich . |	1	DEFAULT									
0.502118707115012	42	|And they looked strange to me , although I can not summon up what type of door or dwelling would have looked familiar . |	|Only that these , carved and bound with black iron hinges , decorated with a buck 's head and knocker of gleaming brass , were outside of my experience . |	|I recall that slush had soaked through my clothes , so my feet and legs were wet and cold . |	1	DEFAULT									
0.605513723946678	389	|What if he chooses to recognize this ... boy ? |	|It could be very divisive to the nobles . |	|Why should we tempt trouble ? |	0										
0.720254237579501	1	|CHAPTER ONE The Earliest History HISTORY OF THE Six Duchies is of necessity a history of its ruling family , the Farseers . |	|A complete telling would reach back beyond the founding of the First Duchy and , if such names were remembered , would tell us of Outislanders raiding from the sea , visiting as pirates a shore more temperate and gentler than the icy beaches of the Out Islands . |	|But we do not know the names of these earliest forebears . |	0										
0.887996136013786	260	|His stiff leg made his gait ungainly , and perhaps the beer had something to do with it as well . |	|Certainly I had no trouble in keeping up . |	|We came at last to a heavy door , and a guard who nodded us through with a devouring stare at me . |	1	DEFAULT									
0.627284975765795	418	|Does he care nothing for the disgrace ? |	|But I suspect Chivalry will feel differently about using his bastard in such a way . |	|Especially as it regards dear Patience . |	3	Chiv	Patience	DEFAULT							
0.319241080530943	299	|You 'll find Buckkeep a more hospitable place . |	|But for tonight , you 'll be warm here , and safe . |	|He stood a moment longer , looking down at us . |	1	DEFAULT									
0.54298391924426	431	|There 's no point to trying to hide him . |	|And as far as a royal bastard is concerned , none of us can afford to have such sensibilities , Burrich . |	|To leave such a boy in a place like this is like leaving a weapon hovering over the King 's throat . |	1	Burrich									
0.856458731250214	253	|But Eda only knows what he 'll think is the right thing to do . |	|Probably whatever hurts the most . |	|He watched me silently a moment longer . |	0										
0.045911974485807	442	|I suppose at some point Chivalry must have come to see the bastard he had sired and must have passed some sort of judgment on himself as regarded me . |	|But I have no memory of such a meeting with my father . |	|The only image I carry of him in my mind is from his portrait on the wall in Buckkeep . |	2	DEFAULT	Chiv								
0.366660693120173	24	|Prior to that day at Moonseye , there is nothing . |	|But on that day they suddenly begin , with a brightness and detail that overwhelms me . |	|Sometimes it seems too complete , and I wonder if it is truly mine . |	1	DEFAULT									
0.077606336078807	158	|His jerkin was closed with an intricate buckle shaped like a buck 's head . |	|It was brass , then gold , then red as the flames in the fireplace moved . |	|Boy , I said . |	0										
0.431662920025261	93	|That done , he stood looking down on me . |	|No real surprise , only a soldier 's stoic acceptance of the odder bits of his duty . |	|Up , boy , and walk , he said . |	0										
0.561974500854822	21	|Perhaps . |	|My memories reach back to when I was six years old . |	|Before that , there is nothing , only a blank gulf no exercise of my mind has ever been able to pierce . |	1	DEFAULT									
0.931276519142131	381	|Verity spoke evenly . |	|Chivalry , me , and then you . |	|Then our cousin August . |	3	Chiv	Prince Verity	DEFAULT							
0.199855515991451	284	|For now , anyway . |	|I 'm jigged if I know what else to do with you . |	|If it were n't for the Lady Patience , I 'd be thinking this a fine god 's jest on the master . |	2	DEFAULT	DEFAULT								
0.907016358887493	71	|For he suddenly dropped my hand and instead gripped me by the back of my coat and swung me forward , like a whelp offered to a prospective new owner . |	|I 've brought the boy to you , he said in a rusty voice . |	|And when the house guard continued to stare at him , without judgment or even curiosity , he elaborated . |	3	DEFAULT	DEFAULT	DEFAULT							
0.565797418072435	318	|I grew accustomed to the mutter of voices that began whenever I left the kitchen . |	|Burrich was a constant in those days , giving me the same care he gave to Chivalry 's beasts ; I was fed , watered , groomed , and exercised , said exercise usually coming in the form of trotting at his heels as he performed his other duties . |	|But those memories are blurry , and details , such as those of washing or changing garments , have probably faded with a six-year-olds calm assumptions of such things as normal . |	3	DEFAULT	Burrich	Chiv							
0.022290888824773	190	|I wasted no time in filling my mouth with bread and cheese . |	|Beside me , the man called Burrich set down his mug and glared around at Jason . |	|What 's this ? |	3	DEFAULT	Burrich	Jason							
0.286999325338933	422	|Regal looked down on me as if ill satisfied . |	|Verity looked briefly troubled , but nodded . |	|A shadow lay over Burrich 's features that the yellow lamplight could not lift . |	1	Prince Verity									
0.717723174956764	86	|Prince Chivalry , he said , not turning back as he added the qualifier . |	|Him what 's King-in-Waiting . |	|That 's who got him . |	1	Chiv									
0.093271201009719	390	|It could be very divisive to the nobles . |	|Why should we tempt trouble ? |	|So say my mother and I . |	0										
0.94717523406281	280	|Hawks are down at the far end , Burrich said as we passed stall after stall . |	|I accepted it as something he thought I should know . |	|Here , he said finally . |	1	DEFAULT									
0.085848385506112	357	|I could make him up a pallet in the guardroom , but he seems small to be in the company of such men , with their comings and goings at all hours , their fights and drinking and noise . |	|The tone of his words made his own distaste for their company obvious . |	|Bedded here , he has quiet , and the pup has taken to him . |	1	DEFAULT									
0.737017314086067	207	|He shrugged at seeing my dilemma , and with a fighting man 's practicality , flipped the meat casually onto the table beside my hip . |	|I stuffed as much bread into my mouth as I could and shifted to where I could watch the meat . |	|Chivalry 's bastard ? |	1	DEFAULT									
0.547166127532139	441	|Time passed , and I think it was two , or perhaps three weeks later that I found myself clinging to Burrich 's belt and trying to wrap my short legs around a horse behind him as we left that chill village and began what seemed to me an endless journey down to warmer lands . |	|I suppose at some point Chivalry must have come to see the bastard he had sired and must have passed some sort of judgment on himself as regarded me . |	|But I have no memory of such a meeting with my father . |	3	DEFAULT	DEFAULT	Chiv							
0.68983271257704	144	|Looks like it was n't the only thing he chivied open . |	|Damn . |	|Who 'd have thought it of him ? |	0										
0.408047948804625	382	|Chivalry , me , and then you . |	|Then our cousin August . |	|This bastard would be a far fifth . |	1	August									
0.985650145838992	188	|I watched with interest as he broke a corner as big as his fist off a dark loaf , and then drew his belt knife to take a wedge of cheese off a wheel . |	|He pushed these into my hands , and then stepping to the fire , began sawing a man-sized portion of meat off the joint . |	|I wasted no time in filling my mouth with bread and cheese . |	2	DEFAULT	DEFAULT								
0.389559791643862	262	|We came at last to a heavy door , and a guard who nodded us through with a devouring stare at me . |	|Outside , a chill wind was blowing . |	|All the ice and snow that had softened during the day had gone back to sharpness with the coming of night . |	0										
0.15224881671917	367	|Regal did not sound pleased . |	|Then our father wishes him to return with us to Buckkeep ? |	|The question came from Verity . |	2	DEFAULT	DEFAULT								
0.002577016106605	380	|I see no confusion in it now , Regal . |	|Verity spoke evenly . |	|Chivalry , me , and then you . |	1	Prince Verity									
0.167606915617606	174	|But the guardsman 's hand was inexorable , and I was steered out of the warm chamber and back into the chill dimness of the dreary corridors . |	|They seemed all the darker after the warmth and light , and endless as I tried to match the guard 's stride as he wound through them . |	|Perhaps I whimpered , or perhaps he grew tired of my slower pace , for he spun suddenly , seized me , and tossed me up to sit on his shoulder as casually as if I weighed nothing at all . |	2	DEFAULT	DEFAULT								
0.409195535579327	34	|The remembrance is almost physical : the chill grayness of the fading day , the remorseless rain that soaked me , the icy cobbles of the strange town 's streets , even the callused roughness of the huge hand that gripped my small one . |	|Sometimes I wonder about that grip . |	|The hand was hard and rough , trapping mine within it . |	1	DEFAULT									
0.929287786104173	384	|This bastard would be a far fifth . |	|I am well aware that you precede me ; you need not flaunt it at me at every opportunity , Regal said coldly . |	|He glared down at me . |	2	Regal	DEFAULT								
0.808672839899692	32	|Perhaps it is even probable . |	|One hopes it is not the case . |	|The remembrance is almost physical : the chill grayness of the fading day , the remorseless rain that soaked me , the icy cobbles of the strange town 's streets , even the callused roughness of the huge hand that gripped my small one . |	0										
0.592871790005029	91	|Then he wordlessly stooped to seize me by the collar and drag me out of the way so he could close the door . |	|He let go of me for the brief time it took him to secure the door . |	|That done , he stood looking down on me . |	2	DEFAULT	DEFAULT								
0.517887976186855	426	|Burrich ventured to protest . |	|It seems to me that if he wants to settle a portion on the family of the boy 's mother , and set him aside , then , why surely for the sake of my Lady Patience 's sensibilities , he should be allowed that discretion - Prince Regal broke in with a snort of disdain . |	|The time for discretion was before he rolled the wench . |	4	Burrich	Patience	Regal	DEFAULT						
0.487539474103308	201	|You 're Chivalry 's man , ai n't you ? |	|Care for his horse , his hounds , and his hawks ? |	|So ? |	1	Chiv									
0.256919032676674	166	|Something 's got to be done with him , at least until Chiv gets back . |	|Jason , see the boy 's fed and bedded somewhere , at least for tonight . |	|I 'll give some thought to what 's to be done with him tomorrow . |	2	DEFAULT	Jason								
0.153090332572679	249	|The silence lingered as I finished bread and cheese and meat , and washed it down with a swallow or two of beer that Burrich offered me . |	|The other men left the room gradually , in twos and threes , and still he sat there , drinking and looking at me . |	|Well , he said at long last . |	2	Burrich	DEFAULT								
0.137173832906763	408	|Despite this mess . |	|And now he thinks this will sway the people , make them warmer toward him . |	|Prove he 's a man , that Chivalry can father a child . |	1	Chiv									
0.692548760625044	185	|Here , Burrich , Jason said matter-of-factly . |	|This pup 's for you , now . |	|He turned away from me . |	1	Burrich									
0.143779047400733	449	|I have been to Withywoods . |	|Its name bears no relationship to its appearance . |	|It is a warm valley , centered on a gently flowing river that carves a wide plain that nestles between gently rising and rolling foothills . |	0										
0.203966783890101	183	|My stomach clutched suddenly at my ribs at the rich smell . |	|Jason set me rather firmly on the corner of the table closest to the fire 's warmth , jogging the elbow of a man whose face was hidden by a mug . |	|Here , Burrich , Jason said matter-of-factly . |	3	DEFAULT	Jason	DEFAULT							
0.260071629409876	353	|I turned him over to Burrich . |	|He is Chivalry 's man , and as such he 's cared for ... . |	|I meant no disrespect to the blood , sir , Burrich said in honest confusion . |	2	Chiv	DEFAULT								
